&1&2&3&5&6&10&11&12&13
0&11/06/18 00:00:48&	SMTP-IN	26E23B490FFC4F39BDFEC25761B79CFC.MAI	748	&177.8.169.156&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
1&11/06/18 00:00:48&	SMTP-IN	26E23B490FFC4F39BDFEC25761B79CFC.MAI	748	&177.8.169.156&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
67&11/06/18 00:14:42&	SMTP-IN	B5C9F00376694A18997206ECB064C8F8.MAI	908	&12.172.181.50&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&contatto	
68&11/06/18 00:14:43&	SMTP-IN	B5C9F00376694A18997206ECB064C8F8.MAI	908	&12.172.181.50&AUTH&Y29udGF0dG8=&535 Invalid Username or Password	&34&14&contatto	
69&11/06/18 00:14:43&	SMTP-IN	B5C9F00376694A18997206ECB064C8F8.MAI	908	&12.172.181.50&QUIT&QUIT&221 Service closing transmission channel	&42&6&contatto	
70&11/06/18 00:16:27&	SMTP-IN	0847531A24C94842BEDB63FA7ABC35B7.MAI	1008	&186.67.78.38&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:16:27	&0&0&	
71&11/06/18 00:16:27&	SMTP-IN	0847531A24C94842BEDB63FA7ABC35B7.MAI	1008	&186.67.78.38&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
72&11/06/18 00:16:27&	SMTP-IN	0847531A24C94842BEDB63FA7ABC35B7.MAI	1008	&186.67.78.38&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
73&11/06/18 00:16:28&	SMTP-IN	0847531A24C94842BEDB63FA7ABC35B7.MAI	1008	&186.67.78.38&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&18&contenedor	
74&11/06/18 00:16:28&	SMTP-IN	0847531A24C94842BEDB63FA7ABC35B7.MAI	1008	&186.67.78.38&AUTH&Y29udGVuZWRvcg==&535 Invalid Username or Password	&34&18&contenedor	
75&11/06/18 00:16:28&	SMTP-IN	0847531A24C94842BEDB63FA7ABC35B7.MAI	1008	&186.67.78.38&QUIT&QUIT&221 Service closing transmission channel	&42&6&contenedor	
76&11/06/18 00:18:12&	SMTP-IN	4E7CD7693C374600A8CC2ADF88E8669E.MAI	872	&187.67.179.181&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:18:12	&0&0&	
77&11/06/18 00:18:13&	SMTP-IN	4E7CD7693C374600A8CC2ADF88E8669E.MAI	872	&187.67.179.181&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
78&11/06/18 00:18:13&	SMTP-IN	4E7CD7693C374600A8CC2ADF88E8669E.MAI	872	&187.67.179.181&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
79&11/06/18 00:18:14&	SMTP-IN	4E7CD7693C374600A8CC2ADF88E8669E.MAI	872	&187.67.179.181&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&contenido	
80&11/06/18 00:18:15&	SMTP-IN	4E7CD7693C374600A8CC2ADF88E8669E.MAI	872	&187.67.179.181&AUTH&Y29udGVuaWRv&535 Invalid Username or Password	&34&14&contenido	
81&11/06/18 00:18:15&	SMTP-IN	4E7CD7693C374600A8CC2ADF88E8669E.MAI	872	&187.67.179.181&QUIT&QUIT&221 Service closing transmission channel	&42&6&contenido	
82&11/06/18 00:18:49&	SMTP-IN	632717C1C4644D5EAC1E172C7F23F4A2.MAI	748	&185.234.219.30&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:18:49	&0&0&	
83&11/06/18 00:18:49&	SMTP-IN	632717C1C4644D5EAC1E172C7F23F4A2.MAI	748	&185.234.219.30&EHLO&EHLO&User	250-cirkul-m.ru [185.234.219.30], this server offers 4 extensions	&129&11&	
84&11/06/18 00:18:49&	SMTP-IN	632717C1C4644D5EAC1E172C7F23F4A2.MAI	748	&185.234.219.30&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
85&11/06/18 00:18:49&	SMTP-IN	632717C1C4644D5EAC1E172C7F23F4A2.MAI	748	&185.234.219.30&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&sharp	
86&11/06/18 00:18:49&	SMTP-IN	632717C1C4644D5EAC1E172C7F23F4A2.MAI	748	&185.234.219.30&AUTH&d2VsY29tZQ==&535 Invalid Username or Password	&34&14&sharp	
87&11/06/18 00:19:54&	SMTP-IN	07D52819A22646AAA6AD5DDD225A07E5.MAI	908	&187.44.106.11&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:19:54	&0&0&	
88&11/06/18 00:19:55&	SMTP-IN	07D52819A22646AAA6AD5DDD225A07E5.MAI	908	&187.44.106.11&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
89&11/06/18 00:19:55&	SMTP-IN	07D52819A22646AAA6AD5DDD225A07E5.MAI	908	&187.44.106.11&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
90&11/06/18 00:19:55&	SMTP-IN	07D52819A22646AAA6AD5DDD225A07E5.MAI	908	&187.44.106.11&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&18&contenidos	
91&11/06/18 00:19:56&	SMTP-IN	07D52819A22646AAA6AD5DDD225A07E5.MAI	908	&187.44.106.11&AUTH&Y29udGVuaWRvcw==&535 Invalid Username or Password	&34&18&contenidos	
92&11/06/18 00:19:56&	SMTP-IN	07D52819A22646AAA6AD5DDD225A07E5.MAI	908	&187.44.106.11&QUIT&QUIT&221 Service closing transmission channel	&42&6&contenidos	
93&11/06/18 00:21:41&	SMTP-IN	8AC1B581D5394B0C9203861DD17D9753.MAI	1008	&187.67.179.181&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:21:41	&0&0&	
94&11/06/18 00:21:42&	SMTP-IN	8AC1B581D5394B0C9203861DD17D9753.MAI	1008	&187.67.179.181&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
95&11/06/18 00:21:42&	SMTP-IN	8AC1B581D5394B0C9203861DD17D9753.MAI	1008	&187.67.179.181&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
96&11/06/18 00:21:43&	SMTP-IN	8AC1B581D5394B0C9203861DD17D9753.MAI	1008	&187.67.179.181&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&contest	
97&11/06/18 00:21:43&	SMTP-IN	8AC1B581D5394B0C9203861DD17D9753.MAI	1008	&187.67.179.181&AUTH&Y29udGVzdA==&535 Invalid Username or Password	&34&14&contest	
98&11/06/18 00:21:43&	SMTP-IN	8AC1B581D5394B0C9203861DD17D9753.MAI	1008	&187.67.179.181&QUIT&QUIT&221 Service closing transmission channel	&42&6&contest	
99&11/06/18 00:23:20&	SMTP-IN	10EB0F9B4C784C7DA7004262E7CD2B13.MAI	872	&78.18.65.185&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:23:20	&0&0&	
100&11/06/18 00:23:20&	SMTP-IN	10EB0F9B4C784C7DA7004262E7CD2B13.MAI	872	&78.18.65.185&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
101&11/06/18 00:23:21&	SMTP-IN	10EB0F9B4C784C7DA7004262E7CD2B13.MAI	872	&78.18.65.185&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
102&11/06/18 00:23:21&	SMTP-IN	10EB0F9B4C784C7DA7004262E7CD2B13.MAI	872	&78.18.65.185&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&context	
103&11/06/18 00:23:21&	SMTP-IN	10EB0F9B4C784C7DA7004262E7CD2B13.MAI	872	&78.18.65.185&AUTH&Y29udGV4dA==&535 Invalid Username or Password	&34&14&context	
104&11/06/18 00:23:21&	SMTP-IN	10EB0F9B4C784C7DA7004262E7CD2B13.MAI	872	&78.18.65.185&QUIT&QUIT&221 Service closing transmission channel	&42&6&context	
105&11/06/18 00:24:31&	SMTP-IN	64D1401A518C42CA8337AC6D2966AABC.MAI	748	&193.169.252.54&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:24:31	&0&0&	
106&11/06/18 00:24:31&	SMTP-IN	64D1401A518C42CA8337AC6D2966AABC.MAI	748	&193.169.252.54&EHLO&EHLO&User	250-cirkul-m.ru [193.169.252.54], this server offers 4 extensions	&129&11&	
107&11/06/18 00:24:31&	SMTP-IN	64D1401A518C42CA8337AC6D2966AABC.MAI	748	&193.169.252.54&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
108&11/06/18 00:24:31&	SMTP-IN	64D1401A518C42CA8337AC6D2966AABC.MAI	748	&193.169.252.54&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&reception	
109&11/06/18 00:24:31&	SMTP-IN	64D1401A518C42CA8337AC6D2966AABC.MAI	748	&193.169.252.54&AUTH&V2VsY29tZTE=&535 Invalid Username or Password	&34&14&reception	
110&11/06/18 00:24:59&	SMTP-IN	772AC2CFC61643C39A1975B804BCD522.MAI	908	&80.82.70.189&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:24:59	&0&0&	
111&11/06/18 00:24:59&	SMTP-IN	772AC2CFC61643C39A1975B804BCD522.MAI	908	&80.82.70.189&EHLO&EHLO&User	250-cirkul-m.ru [80.82.70.189], this server offers 4 extensions	&127&11&	
112&11/06/18 00:25:00&	SMTP-IN	772AC2CFC61643C39A1975B804BCD522.MAI	908	&80.82.70.189&RSET&RSET&250 Requested mail action okay, completed	&43&6&	
113&11/06/18 00:25:00&	SMTP-IN	772AC2CFC61643C39A1975B804BCD522.MAI	908	&80.82.70.189&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
114&11/06/18 00:25:00&	SMTP-IN	772AC2CFC61643C39A1975B804BCD522.MAI	908	&80.82.70.189&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&30&branden@cirkul-m.ru	
115&11/06/18 00:25:00&	SMTP-IN	772AC2CFC61643C39A1975B804BCD522.MAI	908	&80.82.70.189&AUTH&YnJhbmRlbjEyMw==&535 Invalid Username or Password	&34&18&branden@cirkul-m.ru	
116&11/06/18 00:25:00&	SMTP-IN	772AC2CFC61643C39A1975B804BCD522.MAI	908	&80.82.70.189&QUIT&QUIT&221 Service closing transmission channel	&42&6&branden@cirkul-m.ru	
117&11/06/18 00:25:13&	SMTP-IN	0BE915BCF8764035878BA0EC94F14D57.MAI	1008	&201.236.155.139&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:25:13	&0&0&	
118&11/06/18 00:25:15&	SMTP-IN	0BE915BCF8764035878BA0EC94F14D57.MAI	1008	&201.236.155.139&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
119&11/06/18 00:25:16&	SMTP-IN	0BE915BCF8764035878BA0EC94F14D57.MAI	1008	&201.236.155.139&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
120&11/06/18 00:25:17&	SMTP-IN	0BE915BCF8764035878BA0EC94F14D57.MAI	1008	&201.236.155.139&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&14&contexto	
121&11/06/18 00:25:18&	SMTP-IN	0BE915BCF8764035878BA0EC94F14D57.MAI	1008	&201.236.155.139&AUTH&Y29udGV4dG8=&535 Invalid Username or Password	&34&14&contexto	
122&11/06/18 00:25:19&	SMTP-IN	0BE915BCF8764035878BA0EC94F14D57.MAI	1008	&201.236.155.139&QUIT&QUIT&221 Service closing transmission channel	&42&6&contexto	
123&11/06/18 00:26:51&	SMTP-IN	820EFB6EB17242A09F2E54A66E1F0D44.MAI	872	&162.247.99.113&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:26:51	&0&0&	
124&11/06/18 00:26:52&	SMTP-IN	820EFB6EB17242A09F2E54A66E1F0D44.MAI	872	&162.247.99.113&HELO&HELO&mail.cirkul-m.ru	250 Requested mail action okay, completed	&43&23&	
125&11/06/18 00:26:52&	SMTP-IN	820EFB6EB17242A09F2E54A66E1F0D44.MAI	872	&162.247.99.113&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
126&11/06/18 00:26:52&	SMTP-IN	820EFB6EB17242A09F2E54A66E1F0D44.MAI	872	&162.247.99.113&AUTH&{blank}&334 UGFzc3dvcmQ6	&18&10&conti	
127&11/06/18 00:26:52&	SMTP-IN	820EFB6EB17242A09F2E54A66E1F0D44.MAI	872	&162.247.99.113&AUTH&Y29udGk=&535 Invalid Username or Password	&34&10&conti	
128&11/06/18 00:26:52&	SMTP-IN	820EFB6EB17242A09F2E54A66E1F0D44.MAI	872	&162.247.99.113&QUIT&QUIT&221 Service closing transmission channel	&42&6&conti	
129&11/06/18 00:28:03&	SMTP-IN	433EBEB8D4734ECAA8D841550E63FB7F.MAI	748	&193.169.252.163&&&220 mail.cirkul-m.ru ESMTP MailEnable Service, Version: 9.76-- ready at 11/06/18 00:28:03	&0&0&	
130&11/06/18 00:28:03&	SMTP-IN	433EBEB8D4734ECAA8D841550E63FB7F.MAI	748	&193.169.252.163&EHLO&EHLO&178.72.90.213	250-cirkul-m.ru [193.169.252.163], this server offers 4 extensions	&130&20&	
131&11/06/18 00:28:03&	SMTP-IN	433EBEB8D4734ECAA8D841550E63FB7F.MAI	748	&193.169.252.163&AUTH&AUTH&LOGIN	334 VXNlcm5hbWU6	&18&12&	
